Baso population #,Metric 1,Metric 2,Metric 3,Metric 4,Metric 5,Metric 6,Metric 7,Metric 8,Metric 9,Metric 10,Metric 11,Metric 12,% of activated basophils
1,1.126385465,1.049002168,1.013589916,0.855008182,0.760827282,0.659173696,0.047747262,-0.152446341,-0.185266668,-0.18847723,-0.222229158,-0.255168591,65.9
1,0.845142246,0.799056906,0.761869376,0.672841963,0.570891635,0.488679178,-0.031494622,-0.148177051,-0.159609957,-0.210415684,-0.200694624,-0.315194201,65.9
1,0.921967014,0.836645187,0.809479747,0.731309389,0.617620205,0.540353585,-0.077520561,-0.145420062,-0.108331503,-0.199401235,-0.257731143,-0.323880293,65.9
1,1.149184504,1.008024717,0.976449552,0.848560086,0.770988363,0.699421892,0.04102722,-0.156060078,-0.155624149,-0.169929651,-0.246955025,-0.316436164,65.9
1,0.985543868,0.871328613,0.844048172,0.771978498,0.693604837,0.57693603,-0.064604398,-0.176773271,-0.108990341,-0.181714527,-0.245092661,-0.314175435,65.9
1,0.838027749,0.905998232,0.939144102,0.853313506,0.636362487,0.377078611,0.053320033,-0.060753687,-0.071907626,-0.327192451,-0.644724463,-0.746108043,65.9
1,0.821448047,0.74464722,0.73498437,0.662678149,0.598209102,0.502157934,-0.052905676,-0.139705502,-0.124836306,-0.181502558,-0.262129286,-0.286068483,65.9
1,1.081193247,0.945342222,0.899826872,0.818357846,0.681262842,0.573192089,0.045103002,-0.170821921,-0.172215369,-0.191271905,-0.253689544,-0.301219907,65.9
1,0.807106436,0.760221888,0.732157158,0.578938758,0.455823622,0.351025967,-0.097446106,-0.132797771,-0.136191159,-0.352571799,-0.444251302,-0.499866674,65.9
1,1.017633253,0.960991592,0.890332515,0.768932655,0.673755412,0.622678107,-0.026819972,-0.1498799,-0.140002727,-0.200361137,-0.293717083,-0.219948441,65.9
1,1.068220917,0.901289852,0.87617026,0.793199399,0.714516377,0.630687122,0.008421339,-0.127463741,-0.131150443,-0.180769976,-0.223943974,-0.338802787,65.9
1,1.07065863,0.975753848,0.965502139,0.791492966,0.723972496,0.626228325,-0.038504528,-0.150854657,-0.180670277,-0.194799087,-0.268654798,-0.261742444,65.9
1,1.023443772,0.913739192,0.858958914,0.758188172,0.688943675,0.574608316,0.020152859,-0.1457249,-0.138227259,-0.189413515,-0.257833522,-0.320471336,65.9
1,0.947611842,0.849548262,0.846761824,0.732684298,0.638886253,0.584810272,-0.03056552,-0.168704867,-0.128559049,-0.203022974,-0.262076519,-0.33489647,65.9
1,1.010684963,0.818311349,0.810994185,0.767462263,0.699039844,0.62971202,0.038467281,-0.096010168,-0.111562644,-0.120591853,-0.211633698,-0.227945143,65.9
1,1.128766462,0.913458928,0.856870656,0.798741608,0.703543235,0.630714336,-0.050696073,-0.112265828,-0.121166161,-0.166652914,-0.25023049,-0.287919107,65.9
1,0.997165373,0.932995106,0.914432484,0.784315675,0.71320784,0.599424886,0.013874548,-0.113818598,-0.156781842,-0.157023336,-0.238639165,-0.341652124,65.9
1,1.18324618,1.003519148,0.99293614,0.845603307,0.760588315,0.651240981,0.032738884,-0.100046383,-0.156780555,-0.208847915,-0.236291739,-0.297603031,65.9
1,0.875340572,0.778908925,0.791335072,0.711897364,0.464690331,0.279370303,0.00935145,-0.065484495,-0.122010583,-0.442595843,-0.691908884,-0.753994917,65.9
1,1.145273433,1.035163886,0.980199601,0.854096804,0.76035846,0.683803372,-0.026045833,-0.139330274,-0.162013355,-0.188356677,-0.224372242,-0.32346654,65.9
1,1.050464138,0.922271237,0.898822232,0.77582251,0.70139137,0.605290052,0.063739496,-0.150729114,-0.085656682,-0.15981071,-0.234865283,-0.369664834,65.9
1,1.144226496,0.960430525,0.930473463,0.821983655,0.707711826,0.653499397,0.055390036,-0.146692507,-0.162264829,-0.169445585,-0.258839056,-0.329321837,65.9
1,0.742838592,0.666953289,0.657530512,0.593017877,0.535193928,0.417946746,0.009818988,-0.093462008,-0.094641166,-0.175591917,-0.197710037,-0.335603369,65.9
1,0.797931016,0.742921632,0.732316169,0.662015343,0.582539678,0.536221228,-0.008512582,-0.158008917,-0.151761023,-0.189321463,-0.254507592,-0.346840546,65.9
1,0.908173722,0.871763417,0.910222527,0.919815116,0.883383336,0.836284077,0.068176155,0.022747216,-0.009169433,-0.080659389,-0.140770723,-0.213039265,65.9
1,0.981485091,0.884713672,0.836757072,0.733237362,0.681486153,0.600242659,0.019900357,-0.101553433,-0.134695902,-0.181064631,-0.271506311,-0.331902396,65.9
